#     r             phi             Phi             Pi             Ricci
0.5733406593    0.2075530315   -1.5190966672   -0.0029174338   -9.3983117423
0.5749114556    0.2051740340   -1.5099308740   -0.0028377688   -9.4359444303
0.5764822519    0.2028094629   -1.5007286021   -0.0027582387   -9.4733033523
0.5780530483    0.2004593747   -1.4914907310   -0.0026788538   -9.5103864254
0.5796238446    0.1981238248   -1.4822181455   -0.0025996246   -9.5471916271
0.5811946409    0.1958028668   -1.4729117349   -0.0025205617   -9.5837169950
0.5827654372    0.1934965533   -1.4635723933   -0.0024416758   -9.6199606266
0.5843362336    0.1912049353   -1.4542010194   -0.0023629776   -9.6559206790
0.5859070299    0.1889280624   -1.4447985163   -0.0022844780   -9.6915953689
0.5874778262    0.1866659827   -1.4353657918   -0.0022061879   -9.7269829724
0.5890486225    0.1844187431   -1.4259037576   -0.0021281184   -9.7620818248
0.5906194189    0.1821863888   -1.4164133300   -0.0020502805   -9.7968903206
0.5921902152    0.1799689638   -1.4068954290   -0.0019726854   -9.8314069131
0.5937610115    0.1777665104   -1.3973509788   -0.0018953443   -9.8656301146
0.5953318079    0.1755790696   -1.3877809073   -0.0018182686   -9.8995584959
0.5969026042    0.1734066810   -1.3781861463   -0.0017414695   -9.9331906867
0.5984734005    0.1712493826   -1.3685676311   -0.0016649585   -9.9665253750
0.6000441968    0.1691072109   -1.3589263005   -0.0015887470   -9.9995613072
0.6016149932    0.1669802012   -1.3492630967   -0.0015128465  -10.0322972880
0.6031857895    0.1648683869   -1.3395789650   -0.0014372684  -10.0647321805
0.6047565858    0.1627718002   -1.3298748541   -0.0013620245  -10.0968649057
0.6063273821    0.1606904718   -1.3201517154   -0.0012871262  -10.1286944429
0.6078981785    0.1586244307   -1.3104105034   -0.0012125851  -10.1602198293
0.6094689748    0.1565737047   -1.3006521752   -0.0011384130  -10.1914401599
0.6110397711    0.1545383199   -1.2908776905   -0.0010646213  -10.2223545877
0.6126105675    0.1525183008   -1.2810880114   -0.0009912217  -10.2529623236
0.6141813638    0.1505136706   -1.2712841025   -0.0009182258  -10.2832626360
0.6157521601    0.1485244510   -1.2614669304   -0.0008456454  -10.3132548514
0.6173229564    0.1465506618   -1.2516374639   -0.0007734919  -10.3429383534
0.6188937528    0.1445923218   -1.2417966735   -0.0007017771  -10.3723125836
0.6204645491    0.1426494480   -1.2319455317   -0.0006305124  -10.4013770410
0.6220353454    0.1407220557   -1.2220850123   -0.0005597095  -10.4301312821
0.6236061417    0.1388101591   -1.2122160908   -0.0004893797  -10.4585749208
0.6251769381    0.1369137704   -1.2023397439   -0.0004195347  -10.4867076285
0.6267477344    0.1350329007   -1.1924569494   -0.0003501859  -10.5145291335
0.6283185307    0.1331675593   -1.1825686863   -0.0002813446  -10.5420392220
0.6298893270    0.1313177540   -1.1726759343   -0.0002130221  -10.5692377368
0.6314601234    0.1294834910   -1.1627796736   -0.0001452297  -10.5961245781
0.6330309197    0.1276647752   -1.1528808853   -0.0000779787  -10.6226997030
0.6346017160    0.1258616097   -1.1429805506   -0.0000112801  -10.6489631258
0.6361725124    0.1240739962   -1.1330796509    0.0000548550  -10.6749149174
0.6377433087    0.1223019348   -1.1231791678    0.0001204156  -10.7005552056
0.6393141050    0.1205454241   -1.1132800825    0.0001853909  -10.7258841749
0.6408849013    0.1188044610   -1.1033833763    0.0002497701  -10.7509020661
0.6424556977    0.1170790412   -1.0934900296    0.0003135426  -10.7756091768
0.6440264940    0.1153691585   -1.0836010224    0.0003766977  -10.8000058607
0.6455972903    0.1136748054   -1.0737173339    0.0004392250  -10.8240925276
0.6471680866    0.1119959727   -1.0638399421    0.0005011142  -10.8478696435
0.6487388830    0.1103326499   -1.0539698241    0.0005623550  -10.8713377299
0.6503096793    0.1086848246   -1.0441079555    0.0006229374  -10.8944973644
0.6518804756    0.1070524832   -1.0342553105    0.0006828513  -10.9173491797
0.6534512719    0.1054356104   -1.0244128614    0.0007420871  -10.9398938639
0.6550220683    0.1038341894   -1.0145815788    0.0008006350  -10.9621321601
0.6565928646    0.1022482020   -1.0047624312    0.0008584855  -10.9840648661
0.6581636609    0.1006776283   -0.9949563849    0.0009156293  -11.0056928344
0.6597344573    0.0991224469   -0.9851644036    0.0009720571  -11.0270169715
0.6613052536    0.0975826351   -0.9753874485    0.0010277599  -11.0480382381
0.6628760499    0.0960581685   -0.9656264781    0.0010827289  -11.0687576485
0.6644468462    0.0945490212   -0.9558824477    0.0011369553  -11.0891762701
0.6660176426    0.0930551659   -0.9461563096    0.0011904307  -11.1092952236
0.6675884389    0.0915765736   -0.9364490127    0.0012431466  -11.1291156821
0.6691592352    0.0901132142   -0.9267615022    0.0012950951  -11.1486388710
0.6707300315    0.0886650557   -0.9170947198    0.0013462681  -11.1678660674
0.6723008279    0.0872320648   -0.9074496029    0.0013966579  -11.1867985999
0.6738716242    0.0858142068   -0.8978270852    0.0014462570  -11.2054378480
0.6754424205    0.0844114455   -0.8882280958    0.0014950580  -11.2237852416
0.6770132168    0.0830237432   -0.8786535592    0.0015430538  -11.2418422607
0.6785840132    0.0816510607   -0.8691043955    0.0015902376  -11.2596104344
0.6801548095    0.0802933574   -0.8595815196    0.0016366025  -11.2770913411
0.6817256058    0.0789505914   -0.8500858414    0.0016821423  -11.2942866074
0.6832964022    0.0776227193   -0.8406182655    0.0017268506  -11.3111979074
0.6848671985    0.0763096961   -0.8311796910    0.0017707215  -11.3278269628
0.6864379948    0.0750114756   -0.8217710113    0.0018137492  -11.3441755413
0.6880087911    0.0737280102   -0.8123931138    0.0018559282  -11.3602454568
0.6895795875    0.0724592508   -0.8030468801    0.0018972532  -11.3760385682
0.6911503838    0.0712051470   -0.7937331852    0.0019377192  -11.3915567790
0.6927211801    0.0699656470   -0.7844528977    0.0019773213  -11.4068020361
0.6942919764    0.0687406976   -0.7752068795    0.0020160551  -11.4217763297
0.6958627728    0.0675302443   -0.7659959858    0.0020539164  -11.4364816921
0.6974335691    0.0663342314   -0.7568210645    0.0020909010  -11.4509201969
0.6990043654    0.0651526016   -0.7476829564    0.0021270052  -11.4650939583
0.7005751618    0.0639852964   -0.7385824946    0.0021622255  -11.4790051302
0.7021459581    0.0628322561   -0.7295205047    0.0021965588  -11.4926559056
0.7037167544    0.0616934196   -0.7204978045    0.0022300021  -11.5060485150
0.7052875507    0.0605687245   -0.7115152037    0.0022625526  -11.5191852263
0.7068583471    0.0594581072   -0.7025735035    0.0022942079  -11.5320683434
0.7084291434    0.0583615029   -0.6936734969    0.0023249660  -11.5447002052
0.7099999397    0.0572788454   -0.6848159684    0.0023548250  -11.5570831851
0.7115707360    0.0562100674   -0.6760016934    0.0023837832  -11.5692196894
0.7131415324    0.0551551004   -0.6672314383    0.0024118394  -11.5811121565
0.7147123287    0.0541138746   -0.6585059604    0.0024389926  -11.5927630561
0.7162831250    0.0530863191   -0.6498260076    0.0024652420  -11.6041748880
0.7178539213    0.0520723618   -0.6411923183    0.0024905871  -11.6153501807
0.7194247177    0.0510719294   -0.6326056208    0.0025150278  -11.6262914907
0.7209955140    0.0500849476   -0.6240666338    0.0025385642  -11.6370014014
0.7225663103    0.0491113409   -0.6155760657    0.0025611967  -11.6474825218
0.7241371067    0.0481510327   -0.6071346147    0.0025829260  -11.6577374853
0.7257079030    0.0472039452   -0.5987429683    0.0026037530  -11.6677689487
0.7272786993    0.0462699997   -0.5904018035    0.0026236791  -11.6775795910
0.7288494956    0.0453491164   -0.5821117863    0.0026427056  -11.6871721122
0.7304202920    0.0444412145   -0.5738735720    0.0026608346  -11.6965492321
0.7319910883    0.0435462120   -0.5656878043    0.0026780680  -11.7057136891
0.7335618846    0.0426640260   -0.5575551157    0.0026944083  -11.7146682390
0.7351326809    0.0417945728   -0.5494761273    0.0027098582  -11.7234156538
0.7367034773    0.0409377674   -0.5414514483    0.0027244207  -11.7319587204
0.7382742736    0.0400935242   -0.5334816762    0.0027380990  -11.7403002393
0.7398450699    0.0392617563   -0.5255673964    0.0027508966  -11.7484430237
0.7414158662    0.0384423761   -0.5177091821    0.0027628174  -11.7563898977
0.7429866626    0.0376352953   -0.5099075943    0.0027738655  -11.7641436955
0.7445574589    0.0368404242   -0.5021631814    0.0027840453  -11.7717072602
0.7461282552    0.0360576729   -0.4944764791    0.0027933614  -11.7790834420
0.7476990516    0.0352869501   -0.4868480105    0.0028018187  -11.7862750974
0.7492698479    0.0345281640   -0.4792782858    0.0028094225  -11.7932850880
0.7508406442    0.0337812219   -0.4717678020    0.0028161782  -11.8001162788
0.7524114405    0.0330460304   -0.4643170429    0.0028220916  -11.8067715374
0.7539822369    0.0323224954   -0.4569264792    0.0028271688  -11.8132537327
0.7555530332    0.0316105218   -0.4495965679    0.0028314160  -11.8195657331
0.7571238295    0.0309100141   -0.4423277525    0.0028348397  -11.8257104061
0.7586946258    0.0302208760   -0.4351204628    0.0028374467  -11.8316906166
0.7602654222    0.0295430104   -0.4279751150    0.0028392442  -11.8375092257
0.7618362185    0.0288763199   -0.4208921110    0.0028402394  -11.8431690893
0.7634070148    0.0282207060   -0.4138718389    0.0028404400  -11.8486730576
0.7649778111    0.0275760701   -0.4069146727    0.0028398536  -11.8540239732
0.7665486075    0.0269423126   -0.4000209719    0.0028384885  -11.8592246701
0.7681194038    0.0263193337   -0.3931910819    0.0028363528  -11.8642779727
0.7696902001    0.0257070328   -0.3864253336    0.0028334552  -11.8691866946
0.7712609965    0.0251053090   -0.3797240433    0.0028298044  -11.8739536375
0.7728317928    0.0245140607   -0.3730875129    0.0028254094  -11.8785815899
0.7744025891    0.0239331859   -0.3665160294    0.0028202794  -11.8830733261
0.7759733854    0.0233625824   -0.3600098652    0.0028144238  -11.8874316053
0.7775441818    0.0228021473   -0.3535692776    0.0028078524  -11.8916591704
0.7791149781    0.0222517773   -0.3471945095    0.0028005751  -11.8957587468
0.7806857744    0.0217113690   -0.3408857884    0.0027926018  -11.8997330418
0.7822565707    0.0211808183   -0.3346433270    0.0027839429  -11.9035847430
0.7838273671    0.0206600211   -0.3284673229    0.0027746088  -11.9073165181
0.7853981634    0.0201488729   -0.3223579587    0.0027646103  -11.9109310133
0.7869689597    0.0196472688   -0.3163154017    0.0027539582  -11.9144308528
0.7885397561    0.0191551037   -0.3103398043    0.0027426636  -11.9178186375
0.7901105524    0.0186722724   -0.3044313033    0.0027307376  -11.9210969446
0.7916813487    0.0181986693   -0.2985900207    0.0027181917  -11.9242683266
0.7932521450    0.0177341889   -0.2928160631    0.0027050375  -11.9273353102
0.7948229414    0.0172787252   -0.2871095218    0.0026912866  -11.9303003958
0.7963937377    0.0168321724   -0.2814704729    0.0026769509  -11.9331660569
0.7979645340    0.0163944243   -0.2758989773    0.0026620425  -11.9359347390
0.7995353303    0.0159653748   -0.2703950808    0.0026465736  -11.9386088590
0.8011061267    0.0155449177   -0.2649588135    0.0026305564  -11.9411908048
0.8026769230    0.0151329467   -0.2595901909    0.0026140034  -11.9436829344
0.8042477193    0.0147293556   -0.2542892129    0.0025969271  -11.9460875755
0.8058185156    0.0143340382   -0.2490558645    0.0025793403  -11.9484070245
0.8073893120    0.0139468882   -0.2438901154    0.0025612557  -11.9506435466
0.8089601083    0.0135677994   -0.2387919203    0.0025426863  -11.9527993747
0.8105309046    0.0131966659   -0.2337612189    0.0025236450  -11.9548767095
0.8121017010    0.0128333816   -0.2287979360    0.0025041450  -11.9568777184
0.8136724973    0.0124778407   -0.2239019814    0.0024841994  -11.9588045356
0.8152432936    0.0121299376   -0.2190732501    0.0024638215  -11.9606592615
0.8168140899    0.0117895667   -0.2143116223    0.0024430247  -11.9624439625
0.8183848863    0.0114566227   -0.2096169637    0.0024218222  -11.9641606705
0.8199556826    0.0111310006   -0.2049891252    0.0024002277  -11.9658113827
0.8215264789    0.0108125954   -0.2004279433    0.0023782546  -11.9673980613
0.8230972752    0.0105013028   -0.1959332401    0.0023559165  -11.9689226335
0.8246680716    0.0101970183   -0.1915048234    0.0023332270  -11.9703869908
0.8262388679    0.0098996380   -0.1871424868    0.0023101998  -11.9717929897
0.8278096642    0.0096090584   -0.1828460099    0.0022868484  -11.9731424505
0.8293804605    0.0093251760   -0.1786151582    0.0022631865  -11.9744371580
0.8309512569    0.0090478881   -0.1744496836    0.0022392279  -11.9756788613
0.8325220532    0.0087770921   -0.1703493244    0.0022149863  -11.9768692734
0.8340928495    0.0085126859   -0.1663138049    0.0021904753  -11.9780100717
0.8356636459    0.0082545680   -0.1623428367    0.0021657086  -11.9791028974
0.8372344422    0.0080026372   -0.1584361176    0.0021406999  -11.9801493563
0.8388052385    0.0077567928   -0.1545933326    0.0021154627  -11.9811510181
0.8403760348    0.0075169346   -0.1508141539    0.0020900108  -11.9821094172
0.8419468312    0.0072829630   -0.1470982408    0.0020643577  -11.9830260524
0.8435176275    0.0070547789   -0.1434452401    0.0020385169  -11.9839023870
0.8450884238    0.0068322838   -0.1398547864    0.0020125018  -11.9847398494
0.8466592201    0.0066153796   -0.1363265019    0.0019863259  -11.9855398328
0.8482300165    0.0064039691   -0.1328599970    0.0019600026  -11.9863036959
0.8498008128    0.0061979555   -0.1294548703    0.0019335450  -11.9870327627
0.8513716091    0.0059972427   -0.1261107088    0.0019069664  -11.9877283232
0.8529424054    0.0058017353   -0.1228270884    0.0018802798  -11.9883916334
0.8545132018    0.0056113385   -0.1196035735    0.0018534983  -11.9890239157
0.8560839981    0.0054259583   -0.1164397179    0.0018266348  -11.9896263592
0.8576547944    0.0052455014   -0.1133350646    0.0017997020  -11.9902001202
0.8592255908    0.0050698750   -0.1102891462    0.0017727127  -11.9907463223
0.8607963871    0.0048989873   -0.1073014851    0.0017456794  -11.9912660571
0.8623671834    0.0047327472   -0.1043715938    0.0017186146  -11.9917603844
0.8639379797    0.0045710643   -0.1014989751    0.0016915304  -11.9922303328
0.8655087761    0.0044138490   -0.0986831222    0.0016644392  -11.9926768997
0.8670795724    0.0042610126   -0.0959235194    0.0016373528  -11.9931010524
0.8686503687    0.0041124672   -0.0932196418    0.0016102833  -11.9935037280
0.8702211650    0.0039681256   -0.0905709559    0.0015832421  -11.9938858344
0.8717919614    0.0038279015   -0.0879769201    0.0015562410  -11.9942482500
0.8733627577    0.0036917096   -0.0854369842    0.0015292912  -11.9945918252
0.8749335540    0.0035594653   -0.0829505905    0.0015024040  -11.9949173820
0.8765043504    0.0034310849   -0.0805171737    0.0014755904  -11.9952257152
0.8780751467    0.0033064857   -0.0781361611    0.0014488611  -11.9955175925
0.8796459430    0.0031855858   -0.0758069732    0.0014222269  -11.9957937551
0.8812167393    0.0030683042   -0.0735290237    0.0013956980  -11.9960549184
0.8827875357    0.0029545610   -0.0713017198    0.0013692849  -11.9963017724
0.8843583320    0.0028442771   -0.0691244628    0.0013429975  -11.9965349823
0.8859291283    0.0027373742   -0.0669966480    0.0013168456  -11.9967551890
0.8874999246    0.0026337753   -0.0649176655    0.0012908388  -11.9969630098
0.8890707210    0.0025334041   -0.0628868997    0.0012649864  -11.9971590386
0.8906415173    0.0024361854   -0.0609037306    0.0012392978  -11.9973438470
0.8922123136    0.0023420448   -0.0589675333    0.0012137817  -11.9975179844
0.8937831099    0.0022509091   -0.0570776787    0.0011884468  -11.9976819788
0.8953539063    0.0021627061   -0.0552335338    0.0011633017  -11.9978363371
0.8969247026    0.0020773643   -0.0534344618    0.0011383545  -11.9979815461
0.8984954989    0.0019948135   -0.0516798226    0.0011136133  -11.9981180725
0.9000662953    0.0019149844   -0.0499689731    0.0010890856  -11.9982463640
0.9016370916    0.0018378087   -0.0483012673    0.0010647792  -11.9983668494
0.9032078879    0.0017632192   -0.0466760569    0.0010407010  -11.9984799394
0.9047786842    0.0016911497   -0.0450926915    0.0010168583  -11.9985860272
0.9063494806    0.0016215348   -0.0435505189    0.0009932576  -11.9986854886
0.9079202769    0.0015543104   -0.0420488853    0.0009699054  -11.9987786832
0.9094910732    0.0014894134   -0.0405871358    0.0009468080  -11.9988659542
0.9110618695    0.0014267817   -0.0391646145    0.0009239713  -11.9989476297
0.9126326659    0.0013663540   -0.0377806651    0.0009014010  -11.9990240224
0.9142034622    0.0013080703   -0.0364346308    0.0008791025  -11.9990954307
0.9157742585    0.0012518717   -0.0351258550    0.0008570809  -11.9991621390
0.9173450548    0.0011977000   -0.0338536815    0.0008353413  -11.9992244181
0.9189158512    0.0011454984   -0.0326174545    0.0008138881  -11.9992825258
0.9204866475    0.0010952108   -0.0314165193    0.0007927258  -11.9993367074
0.9220574438    0.0010467824   -0.0302502223    0.0007718585  -11.9993871961
0.9236282402    0.0010001591   -0.0291179115    0.0007512900  -11.9994342133
0.9251990365    0.0009552883   -0.0280189366    0.0007310239  -11.9994779693
0.9267698328    0.0009121179   -0.0269526495    0.0007110634  -11.9995186638
0.9283406291    0.0008705973   -0.0259184044    0.0006914117  -11.9995564858
0.9299114255    0.0008306764   -0.0249155581    0.0006720716  -11.9995916148
0.9314822218    0.0007923066   -0.0239434702    0.0006530455  -11.9996242205
0.9330530181    0.0007554400   -0.0230015038    0.0006343357  -11.9996544635
0.9346238144    0.0007200298   -0.0220890251    0.0006159443  -11.9996824957
0.9361946108    0.0006860302   -0.0212054042    0.0005978730  -11.9997084609
0.9377654071    0.0006533963   -0.0203500149    0.0005801232  -11.9997324945
0.9393362034    0.0006220843   -0.0195222356    0.0005626963  -11.9997547245
0.9409069998    0.0005920513   -0.0187214487    0.0005455933  -11.9997752715
0.9424777961    0.0005632553   -0.0179470415    0.0005288149  -11.9997942493
0.9440485924    0.0005356555   -0.0171984062    0.0005123617  -11.9998117649
0.9456193887    0.0005092117   -0.0164749402    0.0004962339  -11.9998279191
0.9471901851    0.0004838851   -0.0157760459    0.0004804317  -11.9998428066
0.9487609814    0.0004596373   -0.0151011318    0.0004649547  -11.9998565165
0.9503317777    0.0004364312   -0.0144496117    0.0004498026  -11.9998691323
0.9519025740    0.0004142305   -0.0138209056    0.0004349749  -11.9998807325
0.9534733704    0.0003929999   -0.0132144397    0.0004204706  -11.9998913904
0.9550441667    0.0003727048   -0.0126296463    0.0004062886  -11.9999011751
0.9566149630    0.0003533116   -0.0120659646    0.0003924278  -11.9999101510
0.9581857593    0.0003347877   -0.0115228402    0.0003788867  -11.9999183783
0.9597565557    0.0003171011   -0.0109997256    0.0003656635  -11.9999259135
0.9613273520    0.0003002208   -0.0104960806    0.0003527564  -11.9999328090
0.9628981483    0.0002841168   -0.0100113719    0.0003401634  -11.9999391141
0.9644689447    0.0002687596   -0.0095450736    0.0003278823  -11.9999448744
0.9660397410    0.0002541207   -0.0090966672    0.0003159105  -11.9999501327
0.9676105373    0.0002401724   -0.0086656421    0.0003042456  -11.9999549286
0.9691813336    0.0002268879   -0.0082514949    0.0002928848  -11.9999592990
0.9707521300    0.0002142410   -0.0078537306    0.0002818252  -11.9999632782
0.9723229263    0.0002022064   -0.0074718615    0.0002710636  -11.9999668981
0.9738937226    0.0001907594   -0.0071054086    0.0002605969  -11.9999701882
0.9754645189    0.0001798762   -0.0067539004    0.0002504218  -11.9999731758
0.9770353153    0.0001695338   -0.0064168741    0.0002405347  -11.9999758864
0.9786061116    0.0001597097   -0.0060938748    0.0002309320  -11.9999783433
0.9801769079    0.0001503822   -0.0057844562    0.0002216099  -11.9999805682
0.9817477042    0.0001415304   -0.0054881803    0.0002125646  -11.9999825812
0.9833185006    0.0001331339   -0.0052046175    0.0002037922  -11.9999844008
0.9848892969    0.0001251732   -0.0049333467    0.0001952885  -11.9999860439
0.9864600932    0.0001176292   -0.0046739555    0.0001870493  -11.9999875262
0.9880308896    0.0001104835   -0.0044260398    0.0001790704  -11.9999888622
0.9896016859    0.0001037185   -0.0041892043    0.0001713474  -11.9999900652
0.9911724822    0.0000973171   -0.0039630623    0.0001638760  -11.9999911472
0.9927432785    0.0000912628   -0.0037472354    0.0001566514  -11.9999921195
0.9943140749    0.0000855397   -0.0035413542    0.0001496693  -11.9999929923
0.9958848712    0.0000801323   -0.0033450575    0.0001429250  -11.9999937750
0.9974556675    0.0000750260   -0.0031579930    0.0001364137  -11.9999944762
0.9990264638    0.0000702065   -0.0029798167    0.0001301308  -11.9999951037
1.0005972602    0.0000656602   -0.0028101933    0.0001240715  -11.9999956646
1.0021680565    0.0000613737   -0.0026487960    0.0001182309  -11.9999961654
1.0037388528    0.0000573346   -0.0024953061    0.0001126043  -11.9999966122
1.0053096491    0.0000535305   -0.0023494137    0.0001071867  -11.9999970103
1.0068804455    0.0000499499   -0.0022108170    0.0001019733  -11.9999973646
1.0084512418    0.0000465814   -0.0020792226    0.0000969592  -11.9999976796
1.0100220381    0.0000434143   -0.0019543452    0.0000921395  -11.9999979593
1.0115928345    0.0000404383   -0.0018359077    0.0000875093  -11.9999982074
1.0131636308    0.0000376434   -0.0017236410    0.0000830638  -11.9999984272
1.0147344271    0.0000350202   -0.0016172839    0.0000787980  -11.9999986217
1.0163052234    0.0000325596   -0.0015165833    0.0000747071  -11.9999987936
1.0178760198    0.0000302529   -0.0014212937    0.0000707862  -11.9999989454
1.0194468161    0.0000280917   -0.0013311773    0.0000670306  -11.9999990793
1.0210176124    0.0000260683   -0.0012460040    0.0000634355  -11.9999991971
1.0225884087    0.0000241748   -0.0011655510    0.0000599961  -11.9999993008
1.0241592051    0.0000224042   -0.0010896029    0.0000567077  -11.9999993918
1.0257300014    0.0000207495   -0.0010179517    0.0000535656  -11.9999994717
1.0273007977    0.0000192041   -0.0009503963    0.0000505653  -11.9999995417
1.0288715941    0.0000177617   -0.0008867428    0.0000477022  -11.9999996030
1.0304423904    0.0000164164   -0.0008268041    0.0000449717  -11.9999996565
1.0320131867    0.0000151624   -0.0007703998    0.0000423695  -11.9999997032
1.0335839830    0.0000139943   -0.0007173562    0.0000398912  -11.9999997440
1.0351547794    0.0000129070   -0.0006675060    0.0000375323  -11.9999997794
1.0367255757    0.0000118957   -0.0006206883    0.0000352888  -11.9999998102
1.0382963720    0.0000109556   -0.0005767483    0.0000331563  -11.9999998369
1.0398671683    0.0000100824   -0.0005355376    0.0000311309  -11.9999998601
1.0414379647    0.0000092718   -0.0004969133    0.0000292084  -11.9999998802
1.0430087610    0.0000085200   -0.0004607386    0.0000273850  -11.9999998975
1.0445795573    0.0000078231   -0.0004268822    0.0000256568  -11.9999999124
1.0461503536    0.0000071777   -0.0003952183    0.0000240200  -11.9999999253
1.0477211500    0.0000065804   -0.0003656265    0.0000224708  -11.9999999364
1.0492919463    0.0000060281   -0.0003379915    0.0000210057  -11.9999999459
1.0508627426    0.0000055176   -0.0003122033    0.0000196212  -11.9999999541
1.0524335390    0.0000050463   -0.0002881566    0.0000183138  -11.9999999611
1.0540043353    0.0000046115   -0.0002657510    0.0000170802  -11.9999999671
1.0555751316    0.0000042106   -0.0002448906    0.0000159170  -11.9999999722
1.0571459279    0.0000038414   -0.0002254841    0.0000148212  -11.9999999766
1.0587167243    0.0000035016   -0.0002074445    0.0000137897  -11.9999999803
1.0602875206    0.0000031890   -0.0001906890    0.0000128195  -11.9999999834
1.0618583169    0.0000029019   -0.0001751389    0.0000119076  -11.9999999861
1.0634291132    0.0000026382   -0.0001607194    0.0000110513  -11.9999999883
1.0649999096    0.0000023964   -0.0001473594    0.0000102478  -11.9999999903
1.0665707059    0.0000021748   -0.0001349915    0.0000094946  -11.9999999919
1.0681415022    0.0000019718   -0.0001235519    0.0000087890  -11.9999999932
1.0697122985    0.0000017862   -0.0001129801    0.0000081287  -11.9999999944
1.0712830949    0.0000016165   -0.0001032188    0.0000075113  -11.9999999953
1.0728538912    0.0000014615   -0.0000942140    0.0000069345  -11.9999999961
1.0744246875    0.0000013201   -0.0000859144    0.0000063961  -11.9999999968
1.0759954839    0.0000011912   -0.0000782719    0.0000058940  -11.9999999974
1.0775662802    0.0000010739   -0.0000712409    0.0000054262  -11.9999999978
1.0791370765    0.0000009671   -0.0000647786    0.0000049908  -11.9999999982
1.0807078728    0.0000008701   -0.0000588445    0.0000045859  -11.9999999985
1.0822786692    0.0000007820   -0.0000534009    0.0000042098  -11.9999999988
1.0838494655    0.0000007021   -0.0000484119    0.0000038606  -11.9999999990
1.0854202618    0.0000006297   -0.0000438442    0.0000035369  -11.9999999992
1.0869910581    0.0000005642   -0.0000396663    0.0000032370  -11.9999999993
1.0885618545    0.0000005049   -0.0000358489    0.0000029595  -11.9999999995
1.0901326508    0.0000004514   -0.0000323645    0.0000027029  -11.9999999996
1.0917034471    0.0000004031   -0.0000291872    0.0000024660  -11.9999999997
1.0932742434    0.0000003595   -0.0000262932    0.0000022474  -11.9999999997
1.0948450398    0.0000003203   -0.0000236599    0.0000020460  -11.9999999998
1.0964158361    0.0000002851   -0.0000212665    0.0000018606  -11.9999999998
1.0979866324    0.0000002534   -0.0000190935    0.0000016901  -11.9999999999
1.0995574288    0.0000002250   -0.0000171227    0.0000015335  -11.9999999999
1.1011282251    0.0000001995   -0.0000153375    0.0000013898  -11.9999999999
1.1026990214    0.0000001767   -0.0000137222    0.0000012581  -11.9999999999
1.1042698177    0.0000001563   -0.0000122623    0.0000011375  -11.9999999999
1.1058406141    0.0000001381   -0.0000109443    0.0000010273  -12.0000000000
1.1074114104    0.0000001219   -0.0000097560    0.0000009266  -12.0000000000
1.1089822067    0.0000001074   -0.0000086859    0.0000008348  -12.0000000000
1.1105530030    0.0000000945   -0.0000077234    0.0000007512  -12.0000000000
1.1121237994    0.0000000831   -0.0000068587    0.0000006750  -12.0000000000
1.1136945957    0.0000000729   -0.0000060829    0.0000006058  -12.0000000000
1.1152653920    0.0000000639   -0.0000053877    0.0000005430  -12.0000000000
1.1168361884    0.0000000560   -0.0000047656    0.0000004861  -12.0000000000
1.1184069847    0.0000000489   -0.0000042096    0.0000004346  -12.0000000000
1.1199777810    0.0000000427   -0.0000037134    0.0000003879  -12.0000000000
1.1215485773    0.0000000372   -0.0000032711    0.0000003459  -12.0000000000
1.1231193737    0.0000000324   -0.0000028774    0.0000003079  -12.0000000000
1.1246901700    0.0000000282   -0.0000025274    0.0000002738  -12.0000000000
1.1262609663    0.0000000244   -0.0000022168    0.0000002430  -12.0000000000
1.1278317626    0.0000000212   -0.0000019415    0.0000002154  -12.0000000000
1.1294025590    0.0000000183   -0.0000016978    0.0000001907  -12.0000000000
1.1309733553    0.0000000158   -0.0000014825    0.0000001686  -12.0000000000
1.1325441516    0.0000000137   -0.0000012925    0.0000001488  -12.0000000000
1.1341149479    0.0000000118   -0.0000011250    0.0000001311  -12.0000000000
1.1356857443    0.0000000101   -0.0000009777    0.0000001153  -12.0000000000
1.1372565406    0.0000000087   -0.0000008484    0.0000001013  -12.0000000000
1.1388273369    0.0000000074   -0.0000007349    0.0000000888  -12.0000000000
1.1403981333    0.0000000064   -0.0000006356    0.0000000778  -12.0000000000
1.1419689296    0.0000000054   -0.0000005487    0.0000000680  -12.0000000000
1.1435397259    0.0000000046   -0.0000004730    0.0000000593  -12.0000000000
1.1451105222    0.0000000039   -0.0000004069    0.0000000517  -12.0000000000
1.1466813186    0.0000000033   -0.0000003495    0.0000000449  -12.0000000000
1.1482521149    0.0000000028   -0.0000002997    0.0000000390  -12.0000000000
1.1498229112    0.0000000024   -0.0000002564    0.0000000338  -12.0000000000
1.1513937075    0.0000000020   -0.0000002191    0.0000000293  -12.0000000000
1.1529645039    0.0000000017   -0.0000001868    0.0000000253  -12.0000000000
1.1545353002    0.0000000014   -0.0000001590    0.0000000218  -12.0000000000
1.1561060965    0.0000000012   -0.0000001350    0.0000000187  -12.0000000000
1.1576768928    0.0000000010   -0.0000001145    0.0000000161  -12.0000000000
1.1592476892    0.0000000008   -0.0000000968    0.0000000138  -12.0000000000
1.1608184855    0.0000000007   -0.0000000818    0.0000000118  -12.0000000000
1.1623892818    0.0000000006   -0.0000000689    0.0000000101  -12.0000000000
