#     r             phi             Phi             Pi             Ricci
0.1303760951    1.0268880267   -1.0956813303   -0.0200124543   -5.4468454214
0.1319468915    1.0251575474   -1.1076259165   -0.0199763621   -5.4116242998
0.1335176878    1.0234083406   -1.1195258618   -0.0199399450   -5.3762781736
0.1350884841    1.0216404768   -1.1313806654   -0.0199032063   -5.3408169260
0.1366592804    1.0198540273   -1.1431898278   -0.0198661489   -5.3052505053
0.1382300768    1.0180490642   -1.1549528506   -0.0198287762   -5.2695889222
0.1398008731    1.0162256604   -1.1666692365   -0.0197910913   -5.2338422473
0.1413716694    1.0143838894   -1.1783384896   -0.0197530974   -5.1980206085
0.1429424657    1.0125238258   -1.1899601150   -0.0197147977   -5.1621341883
0.1445132621    1.0106455447   -1.2015336194   -0.0196761953   -5.1261932213
0.1460840584    1.0087491220   -1.2130585104   -0.0196372934   -5.0902079913
0.1476548547    1.0068346347   -1.2245342972   -0.0195980953   -5.0541888289
0.1492256510    1.0049021600   -1.2359604901   -0.0195586041   -5.0181461079
0.1507964474    1.0029517765   -1.2473366010   -0.0195188231   -4.9820902433
0.1523672437    1.0009835630   -1.2586621429   -0.0194787554   -4.9460316877
0.1539380400    0.9989975995   -1.2699366303   -0.0194384042   -4.9099809289
0.1555088364    0.9969939664   -1.2811595790   -0.0193977727   -4.8739484864
0.1570796327    0.9949727452   -1.2923305064   -0.0193568641   -4.8379449087
0.1586504290    0.9929340179   -1.3034489312   -0.0193156815   -4.8019807699
0.1602212253    0.9908778674   -1.3145143735   -0.0192742282   -4.7660666667
0.1617920217    0.9888043772   -1.3255263551   -0.0192325073   -4.7302132155
0.1633628180    0.9867136317   -1.3364843991   -0.0191905220   -4.6944310488
0.1649336143    0.9846057161   -1.3473880303   -0.0191482753   -4.6587308118
0.1665044106    0.9824807161   -1.3582367747   -0.0191057706   -4.6231231598
0.1680752070    0.9803387184   -1.3690301603   -0.0190630108   -4.5876187540
0.1696460033    0.9781798103   -1.3797677165   -0.0190199991   -4.5522282590
0.1712167996    0.9760040798   -1.3904489741   -0.0189767387   -4.5169623386
0.1727875959    0.9738116157   -1.4010734659   -0.0189332326   -4.4818316530
0.1743583923    0.9716025076   -1.4116407261   -0.0188894838   -4.4468468549
0.1759291886    0.9693768458   -1.4221502906   -0.0188454956   -4.4120185862
0.1774999849    0.9671347212   -1.4326016972   -0.0188012709   -4.3773574746
0.1790707813    0.9648762255   -1.4429944851   -0.0187568128   -4.3428741299
0.1806415776    0.9626014512   -1.4533281955   -0.0187121244   -4.3085791403
0.1822123739    0.9603104915   -1.4636023713   -0.0186672085   -4.2744830692
0.1837831702    0.9580034402   -1.4738165571   -0.0186220682   -4.2405964513
0.1853539666    0.9556803919   -1.4839702994   -0.0185767066   -4.2069297890
0.1869247629    0.9533414419   -1.4940631465   -0.0185311264   -4.1734935489
0.1884955592    0.9509866862   -1.5040946485   -0.0184853308   -4.1402981580
0.1900663555    0.9486162215   -1.5140643576   -0.0184393226   -4.1073540002
0.1916371519    0.9462301453   -1.5239718278   -0.0183931046   -4.0746714124
0.1932079482    0.9438285557   -1.5338166148   -0.0183466798   -4.0422606810
0.1947787445    0.9414115514   -1.5435982766   -0.0183000510   -4.0101320382
0.1963495408    0.9389792319   -1.5533163730   -0.0182532211   -3.9782956583
0.1979203372    0.9365316976   -1.5629704658   -0.0182061928   -3.9467616539
0.1994911335    0.9340690492   -1.5725601190   -0.0181589689   -3.9155400724
0.2010619298    0.9315913882   -1.5820848984   -0.0181115523   -3.8846408922
0.2026327262    0.9290988171   -1.5915443722   -0.0180639455   -3.8540740189
0.2042035225    0.9265914385   -1.6009381103   -0.0180161513   -3.8238492820
0.2057743188    0.9240693563   -1.6102656852   -0.0179681724   -3.7939764307
0.2073451151    0.9215326746   -1.6195266712   -0.0179200115   -3.7644651309
0.2089159115    0.9189814983   -1.6287206449   -0.0178716711   -3.7353249611
0.2104867078    0.9164159331   -1.6378471852   -0.0178231539   -3.7065654088
